Net: Toplevel network.	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	A1	A2	A3	A4	A5	
C4	0	0	0	0.1388814031772767668054576436308175523388398365724276960686476631461432011865553	0.01331224436694109578243026245859511508169839774899552460550436274339652498680821	0.127771024398842743139387053922723833318370227206699453830206886554883078857327	0.000007263283986056468492036744970106733068036498031716989848119671656517580255475559	0.000006481798169978824725192420070662298975074214221901719713285918591904804540040802	0.000006556293205352665883945164547115147047015617711057575642752571507737963517877275	0	0.1470897055415965767572274242433820219938412790269491408140941508485363939024464	0.04504788298960666554599658320500142412265344988854625238945323211400967789527279	0.03231932286008150389965662213103545836293020266044233787435468977671533148880054	0.07383476696318344443899251183920980561777716870135768281567048445926915774735792	0.02030247424123871346739129309348667641344645636356030815737402796476179352939814	0.07383322227903365680426429981156204127290257502948565768147261908181619713512642	0.07695624330271148650586794672050884904510305675058404750142492826766979784196025	
D1	0	0	0	0.0000122294934802054365455930685971659055966267566686103323452888417159004625879678	0.00001144099261087109152187245543323038000002296320456431289876865715225605878844941	0.00001358249804140173929064479250175405394812233896236906094783352373693817226792478	0.1117809788250567400532310186335626078724405956463982866044668544924627367464158	0.07799259829022345440770473989911543207344058016523812759290134161225768685960545	0.0913659174279131172260680423152066797542841100564347636696218962381672046189731	0.1065727668262002084537439083800556174585715718748600341745148430670526650331747	0	0.000007992190576830166384121939641971701349155201094384959819082643297962123087200422	0.07984804660227237671837986148811884647403894913763926138381456081230238046341474	0.2177539127579488232809968384222513842286563629179493535701967765763818910746395	0.03992827221910011535286065103072166963504540320382044990505229166426393061198488	0.2177542318484404342979637224787135381931310856896975083818094769553075185348939	0.2281232884145960231869451251416142753751261305048667751197779105225237297665341	
D2	0	0	0	0.000006609709098670202788018155709897838137211216472310772880407842206075055727365622	0.000007398223260229212967965899013161224021011534292109353244836003055958184829369214	0.000005256707500415914309763440154375535409494447920781402349723341006876903772473534	0.02787797277748995701006609397008877989718633736924412322095972328633805022171837	0.06166600579875719290779514274682001691701170270534689764037743809860124946386193	0.04829282560386537531278534782360307272418629254838204645089365707969989152491966	0.03308640195001525199621614729874594953800765973138778007891368609658605956669934	0.000003505589592627384571334964545725338662958108246483090454248646262456888690590178	0	0.1596847815111953748084718764782881662968421409903168316292643439418112399914545	0.02177872792478009853652404829685227764102471757823475358249168174929817657790394	0.199604616418815784345294649697059904359677561787316373537744761492976377641613	0.02177878170272149116881422225539582108909677297054451372132554806171100842985798	0.01140963837453466445411032312851802998751891553747535222867224043052546099422747	
A1	0	0	0	0.08821551053279448904769631184456634148023725866200846887150120930323314612220303	0.1406642450756712424345655248847465034397074024864315903849986272873690840249167	0.05430374763138079790605193843986012821175368679499332871515640107987706949343163	0.0126340039749231705118155990480987747707211004588978754502311117226702880399961	0.1001695523273375297146912563462789443644594183363118597957468013685196830284685	0.03925843820196043138910120463277092083977299334049294915101157299870497711548226	0.05008732129593100429590216468791161922530815344041872607763834964027597345655975	0.05087030477539222645226369196754578074924007334780889375948650156066922427151987	0.04792704992294361414073441959345848497769202192074835282689557430744935374292594	0	0.000005990007059493806064868072675773010982946033073395892132227294595522972014064016	0.000004799607613600434202373963559976313177929949194142353077234812558465283053747529	0.000006549880562580158662741845822010570528791185390023871637775582831629192720517586	0.00000542720933613556502658454470160260209309120408482703701334614478720430739125718	
A2	0	0	0	0.05141215313177284763378526867484231948099745857875995727222636573297031721510501	0.1122042571629250979417514263651637489032009810050066748946333733702240955013743	0.08195220351421409137253374759074716291140904108150029215389081347134695938451179	0.02526378538311934038196536108803453792137158073954574720522199755046118945309453	0.08013633826065643330593984776122626320038983831286039280703290192591033936149613	0.01570610044404053163696725009279988585275668686680480427295304383710862818706396	0.1001700770658179979667337956317095758393154018425482814386361445201343826779214	0.06022554360737516465790096458730711264872360213781243921616263120708574266617084	0.04846546743166221044576627886293853415024667562415242139322709159169403014252161	0.000004514734589443287238558002995020688377722871453577796917000881829238140470595605	0	0.00000438405198171686158450896519985149956343745108914064200774219608434001057014485	0.000006318567612639064590088837421785401223050977557581362053851512663591577080922252	0.000005697420466518905397543591872124553528067388552536076232772026367323877510350904	
A3	0	0	0	0.1144712191815232944718697073074627303133400330246659984797240000305671398828294	0.09663816283086578012507473916799230519984900080782889885647132352249527027378442	0.09186751726962963016836095281874569913710619024438688441434585217513109310314118	0.037892935079409080768125551759121565854268367648056482181359834378921760472038	0.06010359590035582869709176267325385882479164701554813547921385111194862568404988	0.0706614858923012081612171647155767616977646040543340954680085051425675907581458	0.0200374967383272363253025148263231833379804905604993873612498540016606183679316	0.04927648134907918290255434113390957690342015633839181892281048266064776330911555	0.05394367650772381035876757521847726373951412421850643920035579109536435582539764	0.00000650493896108444661249157440354094783180598862899674655029632747133299234266578	0.000006166895555926138983080291396610941991733682869406057537231938025475269175449848	0	0.000005728995968431860230255594813645808524541433920529903768501195380751551351819484	0.000005763201937906024473445047055888166220686896260208977113108865340033150069835199	
A4	0	0	0	0.1115784231287931228780595099842898471922773924013968806817507637912336976125887	0.1078393998484783282030092605655324507388264823396653514609349144656764569298805	0.1467729786228001482724457454508178604718165412568155336063930384725674754577711	0.1263024903196001234994672749105532201897345028894989482353187529003927899065496	0.04007294773269117327758628429495182656600312980525300264232523613177634132392292	0.1413212004848321774054681191350264756881852845652498618428226311636863400827389	0.09015588884748688921905477446261808673123573165527717883255281115122235058056391	0.0872785445132155727828901646701760274501928492797715090294587094766411162694644	0.08928626902063013135380186682031132593547139822398049997736354560774536021457786	0.000006684921847487809682036958849346115853223380883377892748121098765768164112661725	0.000006760510070516422286665684953971178030587868446925982935708086999035143802258201	0.000007495511409225934938446471868042837982244896872552898906727838994701614561537067	0	0.000007296743280862526842838783645291943385894688702460835673107237414489938689725141	
A5	0	0	0	0.1342974120019050571434591077134884565146543397715641522762936629890096431806409	0.04262900582188566958405019498973144510046107819952054275694054439542322353360413	0.1250783495725126344690335063078237563159328872203802376067054367126373179023313	0.08841111808792089445090469354390384401870331266016772738002033569416057310733782	0.01002117576159091208634598772225971925770762560193484952707863117067210546845993	0.02355667397416023736363944076608074379264380770516714597495931873468838633961119	0.03005400063996540884502769366075074315598760340117073617036841419193557570918585	0.05175033883973404787508751576338030654748875258468643785650743118119230593321196	0.05977740690335007786572825256056158152173583196711656562096816554063900055159495	0.000006891919968417850394673595187378113550934643212547336142554236048603368196882324	0.000006461567990870731020534761002904440188595993092531315613153510974608754290529247	0.000007664673527780839152383252639988879413491562111868286589484077515538382600908358	0.000005224926256932642885502993735609384050201673156715588047009900060221685610835453	0	

Normalized By Cluster	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	A1	A2	A3	A4	A5	
