Net: Toplevel network.	A1	A2	A3	A4	A5	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	
C4	0.0323193228600814980313	0.0738347669631834276235	0.020302474241238708428	0.0738332222790336441396	0.0769562433027114752769	0	0	0	0.138881403177276752988	0.013312244366941094232	0.127771024398842729626	0.00000726328398605249925672	0.00000648179816997586955793	0.00000655629320534935615013	0	0.147089705541596560539	0.0450478829896066607238	
D1	0.0798480466022723769184	0.217753912757948804718	0.0399282722191001109653	0.217754231848440427639	0.228123288414596025776	0	0	0	0.000012229493480208568153	0.0000114409926108724589339	0.0000135824980414068852701	0.111780978825056732826	0.0779925982902234471364	0.0913659174279131102983	0.106572766826200198626	0	0.00000799219057683250075048	
D2	0.159684781511195380323	0.021778727924780098826	0.199604616418815816501	0.0217787817027214882281	0.0114096383745346628353	0	0	0	0.00000660970909866888168901	0.00000739822326022607655325	0.00000525670750041616017557	0.027877972777489958866	0.0616660057987571976138	0.0482928256038653782729	0.0330864019500152545223	0.00000350558959262665131559	0	

Normalized By Cluster	A1	A2	A3	A4	A5	Alt1	Alt2	Alt3	B1	B2	B3	C1	C2	C3	C4	D1	D2	
A1	0	0.236022365743263013218	0.197158982313857053417	0.274946634295406825333	0.224407885246161208101	0	0	0	0.17643994258303651249	0.28134251747297459778	0.108612970092733488124	0.043489898588415519643	0.344813451142057386568	0.135139109449013074231	0.172414789543129869375	0.169906809165081025386	0.160077056670567377042	
A2	0.183551796755881398752	0	0.180088727394532483029	0.265236729443353466952	0.235580755976570881792	0	0	0	0.102829505739447489595	0.224419703560206581389	0.163912669338114570904	0.0869652618799366888601	0.275853158125806029636	0.0540650245943404726685	0.344813863248565341258	0.201153305248359585654	0.16187537912509241854	
A3	0.264465875111784125517	0.242992247579177010343	0	0.24048807369275943717	0.238300732297377503405	0	0	0	0.228954015204499981592	0.193285962613831495849	0.183744296497391614162	0.130438450636227224763	0.206894488863491912974	0.243237650634628019301	0.0689747563599592787991	0.164583439196430832108	0.180172678586082687301	
A4	0.271783289132526445543	0.266382253748087643135	0.307901712043613739802	0	0.301710626479890406702	0	0	0	0.223168130541298929336	0.215689553658956559204	0.29356075469766352568	0.43476972987869806575	0.137943028436331594277	0.486469203933639024973	0.310342182403274980178	0.291510323602117824557	0.298217461097615937573	
A5	0.280199038999808030189	0.254603132929472333304	0.314850578247996723752	0.219328562568480270544	0	0	0	0	0.268608405931717086987	0.0852622626940307657786	0.25016930937409680113	0.304336659016722500984	0.0344958734323130765459	0.0810890113883794088269	0.10345440844507053039	0.172846122788010732295	0.199657424520641579544	
Alt1	0.39999667906187951703	0.499991064431279696045	0.0833558925271038169437	0.0625279786931969048413	0.62498068306056391955	0	0	0	0.455249940706017337301	0.335513585620322193973	0.398345425474354015648	0.415456133238148487676	0.147178538997123192174	0.257864253324880136862	0.52959696560672435878	0.461863312631786156935	0.37377438822327002072	
Alt2	0.466653947903231148158	0.0833540377277462323568	0.833288668402594110341	0.312500821248949558505	0.25000607435908898362	0	0	0	0.221955376369951537545	0.157050021957717402239	0.232331411733959506307	0.177368752609734247372	0.343516822782926506054	0.223141047208295797596	0.305035274094862976003	0.225579033458468849898	0.177815239485554309123	
Alt3	0.133349373034889334811	0.416654897840974071598	0.0833554390703020727151	0.624971200057853536654	0.12501324258034709683	0	0	0	0.322794682924031125155	0.507436392421960403788	0.369323162791686478045	0.407175114152117264951	0.509304638219950301772	0.518994699466824065543	0.165367760298412665216	0.312557653909744993167	0.448410372291175670157	
B1	0.456620441214452025647	0.379961941575030377423	0.287271510745493116774	0.143721300713202677046	0.170126546327152195375	0	0	0	0	0.616052989034524538234	0.434980618917397685687	0.222314504634994330592	0.450298007361727304254	0.272681345784934894541	0.360821723074573697533	0.176479376862986722972	0.166675417148429853018	
B2	0.322627794811961409343	0.339929157058547409819	0.214548006058183969727	0.523672387085633182604	0.340243476292511975011	0	0	0	0.513445415640863354055	0	0.565019381082602314313	0.434383557652708073681	0.326975865222250382891	0.426068030231524546376	0.407115536593472950067	0.352942736246419037291	0.333336654074069044206	
B3	0.22075176397358656501	0.280108901366422212757	0.498180483196322913499	0.33260631220116414035	0.489629977380335829614	0	0	0	0.486554584359136645945	0.383947010965475461766	0	0.343301937712297595727	0.222726127416022312854	0.301250623983540559083	0.232062740331953352401	0.470577886890594239737	0.499987928777501102777	
